content_id,series_id,season_id,season_number,episode_number
0000015e-bd1e-d81c-a97e-bf9eed770000,1e758eb4-6246-4c32-8050-73e64f955b4f,f1d575e0-6fa8-4966-ade3-db67e0315a18,1,2
0000015e-bd24-d36f-a9ff-bdeee1910000,1e758eb4-6246-4c32-8050-73e64f955b4f,f1d575e0-6fa8-4966-ade3-db67e0315a18,1,3
0000015e-bd2e-d36f-a9ff-bdeee0a70000,1e758eb4-6246-4c32-8050-73e64f955b4f,f1d575e0-6fa8-4966-ade3-db67e0315a18,1,4
0000015e-bd32-df80-a5df-bf363bad0000,1e758eb4-6246-4c32-8050-73e64f955b4f,f1d575e0-6fa8-4966-ade3-db67e0315a18,1,5
0000015e-bd36-dc64-af7e-bf3e46c10000,1e758eb4-6246-4c32-8050-73e64f955b4f,f1d575e0-6fa8-4966-ade3-db67e0315a18,1,6
0000015e-bd39-d8bc-a3df-ffffe70e0000,1e758eb4-6246-4c32-8050-73e64f955b4f,f1d575e0-6fa8-4966-ade3-db67e0315a18,1,7
0000015e-bd3e-d33b-abde-bfbf05c40000,1e758eb4-6246-4c32-8050-73e64f955b4f,f1d575e0-6fa8-4966-ade3-db67e0315a18,1,8
0000015e-bd41-d36f-a9ff-bdefbe3e0000,1e758eb4-6246-4c32-8050-73e64f955b4f,f1d575e0-6fa8-4966-ade3-db67e0315a18,1,9
0000015e-bd45-d81c-a97e-bfc5a0690000,1e758eb4-6246-4c32-8050-73e64f955b4f,f1d575e0-6fa8-4966-ade3-db67e0315a18,1,10
0000015f-70f6-d54a-a5df-76ff44580000,243aa545-869a-453f-b912-5ec34210b443,65fd62ef-6161-41f7-bd51-63b40418a812,1,1
0000015f-70fb-d54a-a5df-76fb9a300000,243aa545-869a-453f-b912-5ec34210b443,65fd62ef-6161-41f7-bd51-63b40418a812,1,2
0000015f-70fd-dcfe-addf-76fdbd540000,243aa545-869a-453f-b912-5ec34210b443,65fd62ef-6161-41f7-bd51-63b40418a812,1,3
00000160-011f-d283-a5f7-5b1f54300000,dcd5cb58-49b9-4439-a297-f1a7a7dd1c64,e1169a5f-7448-4782-9f47-dbb3b7259c43,1,1
00000160-0124-d283-a5f7-5b2f4d6c0000,dcd5cb58-49b9-4439-a297-f1a7a7dd1c64,e1169a5f-7448-4782-9f47-dbb3b7259c43,1,2
00000160-0127-d283-a5f7-5b2fc48a0000,dcd5cb58-49b9-4439-a297-f1a7a7dd1c64,e1169a5f-7448-4782-9f47-dbb3b7259c43,1,3
00000160-012b-d685-abf6-11ef13a10000,dcd5cb58-49b9-4439-a297-f1a7a7dd1c64,e1169a5f-7448-4782-9f47-dbb3b7259c43,1,4
00000160-012e-db97-a7ea-f93f3be90000,dcd5cb58-49b9-4439-a297-f1a7a7dd1c64,e1169a5f-7448-4782-9f47-dbb3b7259c43,1,5
00000160-0134-db32-a768-71bef9c60000,dcd5cb58-49b9-4439-a297-f1a7a7dd1c64,e1169a5f-7448-4782-9f47-dbb3b7259c43,1,6
00000160-0139-d685-abf6-11ff0e8e0000,dcd5cb58-49b9-4439-a297-f1a7a7dd1c64,e1169a5f-7448-4782-9f47-dbb3b7259c43,1,7
00000160-013c-db32-a768-71be570d0000,dcd5cb58-49b9-4439-a297-f1a7a7dd1c64,e1169a5f-7448-4782-9f47-dbb3b7259c43,1,8
00000160-013f-db97-a7ea-f93fb33e0000,dcd5cb58-49b9-4439-a297-f1a7a7dd1c64,e1169a5f-7448-4782-9f47-dbb3b7259c43,1,9
00000160-53ba-d97c-ad72-f7bac9d40000,1e18d305-41ad-4bfc-b0ae-67dce93949ed,36be72cc-e91f-4545-a4f1-0c44123719c0,2,1
00000160-53bf-d97c-ad72-f7bfbcf20000,1e18d305-41ad-4bfc-b0ae-67dce93949ed,36be72cc-e91f-4545-a4f1-0c44123719c0,2,2
00000160-96ca-db75-a764-b7ce7fb00000,f21ca5d3-9cb5-434f-90fd-d1e3d6ef22f1,694a0417-ae09-4e9c-b516-304e804d9a8d,1,2
00000160-e3ce-d913-a5e3-ebcf2d770000,a9d5608d-d0cf-4676-9338-65d82050a26f,931b24b9-ca2d-44aa-b0e0-1e07ea09d854,1,1
00000160-e3d6-db95-a5f6-ffd71fe80000,a9d5608d-d0cf-4676-9338-65d82050a26f,931b24b9-ca2d-44aa-b0e0-1e07ea09d854,1,2
00000160-e3d9-d913-a5e3-ebd90c470000,a9d5608d-d0cf-4676-9338-65d82050a26f,931b24b9-ca2d-44aa-b0e0-1e07ea09d854,1,3
00000160-e3de-d0eb-a5e4-ffff78eb0000,a9d5608d-d0cf-4676-9338-65d82050a26f,931b24b9-ca2d-44aa-b0e0-1e07ea09d854,1,4
00000160-e3e6-d0eb-a5e4-fff7d7940000,a9d5608d-d0cf-4676-9338-65d82050a26f,931b24b9-ca2d-44aa-b0e0-1e07ea09d854,1,5
